ciudad,fecha,ta_max,ta_min,tm_mes,(,tm_mes,ta_min,ta_max
Barcelona,2000-1,16.8(31),-7.6(26),1.4,,1.4,-7.6,16.8
Barcelona,2000-2,20.6(25),-4.4(21),7.1,,7.1,-4.4,20.6
Barcelona,2000-3,22.5(11),-4.5(30),7.5,,7.5,-4.5,22.5
Barcelona,2000-4,17.7(25),-2.4(01),7.9,,7.9,-2.4,17.7
Barcelona,2000-5,28.3(31),3.2(01),14.0,,14.0,3.2,28.3
Barcelona,2000-6,33.5(26),3.0(06),17.7,,17.7,3.0,33.5
Barcelona,2000-7,36.4(21),5.4(11),18.9,,18.9,5.4,36.4
Barcelona,2000-8,35.8(10),6.3(22),19.5,,19.5,6.3,35.8
Barcelona,2000-9,34.3(10),3.4(30),17.0,,17.0,3.4,34.3
Barcelona,2000-10,26.0(04),-0.2(08),11.0,,11.0,-0.2,26.0
Barcelona,2000-11,16.8(28),-4.4(15),6.2,,6.2,-4.4,16.8
Barcelona,2000-12,15.3(07),-3.8(31),6.4,,6.4,-3.8,15.3
Barcelona,2000-13,36.4(21/jul),-7.6(26/ene),11.2,,11.2,-7.6,36.4
Barcelona,2001-1,13.2(05),-1.4(20),4.9,,4.9,-1.4,13.2
Barcelona,2001-2,15.8(12),-4.0(22),4.8,,4.8,-4.0,15.8
Barcelona,2001-3,22.0(23),-0.2(01),9.9,,9.9,-0.2,22.0
Barcelona,2001-4,21.2(01),-2.3(20),8.9,,8.9,-2.3,21.2
Barcelona,2001-5,33.4(30),-3.0(01),13.2,,13.2,-3.0,33.4
Barcelona,2001-6,36.6(22),2.6(11),18.4,,18.4,2.6,36.6
Barcelona,2001-7,35.6(02),4.0(20),19.4,,19.4,4.0,35.6
Barcelona,2001-8,35.4(24),8.7(19),21.0,,21.0,8.7,35.4
Barcelona,2001-9,29.4(12),3.3(26),15.4,,15.4,3.3,29.4
Barcelona,2001-10,26.8(29),1.5(25),13.6,,13.6,1.5,26.8
Barcelona,2001-11,17.6(03),-4.0(11),4.5,,4.5,-4.0,17.6
Barcelona,2001-12,13.6(07),-13.4(25),0.9,,0.9,-13.4,13.6
Barcelona,2001-13,36.6(22/jun),-13.4(25/dic),11.2,,11.2,-13.4,36.6
Barcelona,2002-1,17.2(29),-5.6(12),5.0,,5.0,-5.6,17.2
Barcelona,2002-2,16.5(13),-4.5(20),5.7,,5.7,-4.5,16.5
Barcelona,2002-3,23.8(22),-4.5(02),8.2,,8.2,-4.5,23.8
Barcelona,2002-4,25.0(25),-2.4(15),9.2,,9.2,-2.4,25.0
Barcelona,2002-5,29.3(31),-1.4(02),12.1,,12.1,-1.4,29.3
Barcelona,2002-6,36.4(17),0.1(09),17.7,,17.7,0.1,36.4
Barcelona,2002-7,35.0(27),5.0(14),18.9,,18.9,5.0,35.0
Barcelona,2002-8,36.2(14),6.5(01),18.4,,18.4,6.5,36.2
Barcelona,2002-9,28.5(02),0.5(28),15.8,,15.8,0.5,28.5
Barcelona,2002-10,22.8(29),0.6(11),12.4,,12.4,0.6,22.8
Barcelona,2002-11,17.1(03),0.6(24),7.9,,7.9,0.6,17.1
Barcelona,2002-12,16.3(18),-2.0(13),6.5,,6.5,-2.0,16.3
