ciudad,fecha,n_cub,n_gra,n_fog,inso,n_des,n_nub,evap,n_llu,n_tor,n_nie
Cordoba,2000-1,2.0,0.0,0.0,7.9,17.0,12.0,522.0,5.0,0.0,0.0
Cordoba,2000-2,1.0,0.0,2.0,9.0,15.0,13.0,961.0,1.0,0.0,0.0
Cordoba,2000-3,2.0,0.0,1.0,8.0,11.0,18.0,1339.0,6.0,1.0,0.0
Cordoba,2000-4,14.0,0.0,0.0,5.9,1.0,15.0,1143.0,20.0,2.0,0.0
Cordoba,2000-5,4.0,0.0,1.0,9.4,7.0,20.0,1724.0,13.0,6.0,0.0
Cordoba,2000-6,2.0,0.0,0.0,12.1,21.0,7.0,3428.0,2.0,1.0,0.0
Cordoba,2000-7,0.0,0.0,0.0,12.3,23.0,8.0,4106.0,1.0,0.0,0.0
Cordoba,2000-8,1.0,0.0,0.0,11.7,22.0,8.0,3546.0,2.0,0.0,0.0
Cordoba,2000-9,0.0,0.0,0.0,9.1,13.0,17.0,2372.0,5.0,1.0,0.0
Cordoba,2000-10,6.0,0.0,0.0,7.8,7.0,18.0,1294.0,10.0,0.0,0.0
Cordoba,2000-11,8.0,0.0,6.0,5.0,2.0,20.0,549.0,18.0,1.0,0.0
Cordoba,2000-12,18.0,0.0,3.0,3.6,1.0,12.0,400.0,16.0,4.0,0.0
Cordoba,2000-13,58.0,0.0,13.0,8.5,140.0,168.0,21384.0,99.0,16.0,0.0
Cordoba,2001-1,16.0,0.0,4.0,3.9,4.0,11.0,461.0,21.0,1.0,0.0
Cordoba,2001-2,9.0,2.0,4.0,6.6,7.0,12.0,635.0,9.0,2.0,0.0
Cordoba,2001-3,12.0,0.0,0.0,5.2,4.0,15.0,801.0,14.0,4.0,0.0
Cordoba,2001-4,3.0,0.0,0.0,9.6,10.0,17.0,1786.0,3.0,1.0,0.0
Cordoba,2001-5,8.0,0.0,0.0,9.1,5.0,18.0,1638.0,12.0,4.0,0.0
Cordoba,2001-6,0.0,0.0,0.0,12.7,23.0,7.0,2862.0,2.0,0.0,0.0
Cordoba,2001-7,1.0,0.0,0.0,11.4,18.0,12.0,3214.0,1.0,1.0,0.0
Cordoba,2001-8,1.0,0.0,0.0,11.3,18.0,12.0,3073.0,1.0,0.0,0.0
Cordoba,2001-9,5.0,0.0,1.0,7.6,10.0,15.0,1813.0,5.0,0.0,0.0
Cordoba,2001-10,7.0,0.0,0.0,6.6,3.0,21.0,1092.0,11.0,4.0,0.0
Cordoba,2001-11,5.0,0.0,0.0,6.8,12.0,13.0,688.0,8.0,0.0,0.0
Cordoba,2001-12,8.0,0.0,1.0,4.8,6.0,17.0,646.0,10.0,0.0,0.0
Cordoba,2001-13,75.0,2.0,10.0,8.0,120.0,170.0,18709.0,97.0,17.0,0.0
Cordoba,2002-1,7.0,0.0,5.0,6.4,8.0,16.0,460.0,6.0,0.0,0.0
Cordoba,2002-2,5.0,0.0,2.0,7.4,13.0,10.0,593.0,5.0,0.0,0.0
Cordoba,2002-3,10.0,1.0,1.0,6.3,9.0,12.0,772.0,13.0,3.0,0.0
Cordoba,2002-4,9.0,0.0,1.0,7.0,7.0,14.0,1016.0,14.0,4.0,0.0
Cordoba,2002-5,8.0,0.0,0.0,10.0,10.0,13.0,1976.0,7.0,0.0,0.0
Cordoba,2002-6,4.0,0.0,0.0,11.0,13.0,13.0,2572.0,4.0,2.0,0.0
Cordoba,2002-7,0.0,0.0,0.0,12.6,23.0,8.0,3095.0,0.0,0.0,0.0
Cordoba,2002-8,1.0,0.0,0.0,11.0,18.0,12.0,3055.0,1.0,0.0,0.0
Cordoba,2002-9,8.0,0.0,0.0,6.7,4.0,18.0,1617.0,10.0,2.0,0.0
