ciudad,fecha,nt_30
Barcelona,2000-1,0.0
Barcelona,2000-2,0.0
Barcelona,2000-3,0.0
Barcelona,2000-4,0.0
Barcelona,2000-5,0.0
Barcelona,2000-6,6.0
Barcelona,2000-7,8.0
Barcelona,2000-8,13.0
Barcelona,2000-9,5.0
Barcelona,2000-10,0.0
Barcelona,2000-11,0.0
Barcelona,2000-12,0.0
Barcelona,2000-13,32.0
Barcelona,2001-1,0.0
Barcelona,2001-2,0.0
Barcelona,2001-3,0.0
Barcelona,2001-4,0.0
Barcelona,2001-5,4.0
Barcelona,2001-6,10.0
Barcelona,2001-7,13.0
Barcelona,2001-8,15.0
Barcelona,2001-9,0.0
Barcelona,2001-10,0.0
Barcelona,2001-11,0.0
Barcelona,2001-12,0.0
Barcelona,2001-13,42.0
Barcelona,2002-1,0.0
Barcelona,2002-2,0.0
Barcelona,2002-3,0.0
Barcelona,2002-4,0.0
Barcelona,2002-5,0.0
Barcelona,2002-6,9.0
Barcelona,2002-7,9.0
Barcelona,2002-8,10.0
Barcelona,2002-9,0.0
Barcelona,2002-10,0.0
Barcelona,2002-11,0.0
Barcelona,2002-12,0.0
Barcelona,2002-13,28.0
Barcelona,2003-1,0.0
Barcelona,2003-2,0.0
Barcelona,2003-3,0.0
Barcelona,2003-4,0.0
Barcelona,2003-5,1.0
Barcelona,2003-6,16.0
Barcelona,2003-7,18.0
Barcelona,2003-8,21.0
Barcelona,2003-9,3.0
Barcelona,2003-10,0.0
Barcelona,2003-11,0.0
Barcelona,2003-12,0.0
Barcelona,2003-13,59.0
Barcelona,2004-1,0.0
Barcelona,2004-2,0.0
Barcelona,2004-3,0.0
Barcelona,2004-4,0.0
Barcelona,2004-5,0.0
Barcelona,2004-6,5.0
Barcelona,2004-7,13.0
Barcelona,2004-8,8.0
Barcelona,2004-9,1.0
Barcelona,2004-10,0.0
Barcelona,2004-11,0.0
Barcelona,2004-12,0.0
Barcelona,2004-13,27.0
Barcelona,2005-1,0.0
Barcelona,2005-2,0.0
Barcelona,2005-3,0.0
Barcelona,2005-4,0.0
Barcelona,2005-5,3.0
Barcelona,2005-6,11.0
Barcelona,2005-7,14.0
Barcelona,2005-8,13.0
Barcelona,2005-9,3.0
Barcelona,2005-10,0.0
Barcelona,2005-11,0.0
Barcelona,2005-12,0.0
Barcelona,2005-13,44.0
Barcelona,2006-1,0.0
Barcelona,2006-2,0.0
Barcelona,2006-3,0.0
Barcelona,2006-4,0.0
Barcelona,2006-5,0.0
Barcelona,2006-6,8.0
Barcelona,2006-7,21.0
Barcelona,2006-8,4.0
Barcelona,2006-9,9.0
Barcelona,2006-10,0.0
Barcelona,2006-11,0.0
Barcelona,2006-12,0.0
Barcelona,2006-13,42.0
Barcelona,2007-1,0.0
Barcelona,2007-2,0.0
Barcelona,2007-3,0.0
Barcelona,2007-4,0.0
Barcelona,2007-5,0.0
Barcelona,2007-6,0.0
Barcelona,2007-7,13.0
Barcelona,2007-8,7.0
Barcelona,2007-9,0.0
Barcelona,2007-10,0.0
Barcelona,2007-11,0.0
Barcelona,2007-12,0.0
Barcelona,2007-13,20.0
Barcelona,2008-1,0.0
Barcelona,2008-2,0.0
Barcelona,2008-3,0.0
Barcelona,2008-4,0.0
Barcelona,2008-5,0.0
Barcelona,2008-6,2.0
Barcelona,2008-7,9.0
Barcelona,2008-8,8.0
Barcelona,2008-9,0.0
Barcelona,2008-10,0.0
Barcelona,2008-11,0.0
Barcelona,2008-12,0.0
Barcelona,2008-13,19.0
Barcelona,2009-1,0.0
Barcelona,2009-2,0.0
Barcelona,2009-3,0.0
Barcelona,2009-4,0.0
Barcelona,2009-5,0.0
Barcelona,2009-6,4.0
Barcelona,2009-7,13.0
Barcelona,2009-8,14.0
Barcelona,2009-9,1.0
Barcelona,2009-10,0.0
Barcelona,2009-11,0.0
Barcelona,2009-12,0.0
Barcelona,2009-13,32.0
