ciudad,fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010,evap
Barcelona,1990-1,2331,16.5(27),13.0,86.0,0.0,8.0,2.8,932.7(21),5.0,1027.1,921.4,-1.2,10.8(25),6.6,0.0,0.0,5.0,20/23.6(31),2.0,13.0,29.0,0.0,4.6,12.0,-6.4(20),324.0,67.0,0.0,5.0,49.6,10.0,0.0,4.5,14.0,19.0,0.0,2.0,2.8,6.7,1.0,6.1,898.6(27),8.0,
Barcelona,1990-2,2331,5.2(21),9.0,80.0,0.0,5.0,3.9,931.1(23),7.0,1024.5,920.9,3.0,19.8(23),8.4,0.0,0.0,2.0,26/25.6(12),0.0,17.0,37.0,1.0,7.4,7.0,-2.4(05),424.0,86.0,0.0,3.0,18.6,9.0,0.0,8.1,19.0,6.0,5.8,1.0,7.5,12.0,0.0,7.3,911.1(12),4.0,461.0
Barcelona,1990-3,2331,1.3(07),4.0,66.0,2.0,3.0,6.8,935.0(10),5.0,1028.7,924.6,0.5,24.3(20),6.2,0.0,0.0,7.0,17/23.6(31),0.0,20.0,57.0,0.0,8.9,8.0,-7.4(05),376.0,72.0,0.0,2.0,4.1,8.0,0.0,10.0,17.0,12.0,5.0,2.0,7.3,14.0,0.0,8.6,914.6(31),2.0,
Barcelona,1990-4,2331,18.6(08),11.0,77.0,2.0,2.0,4.4,926.5(17),5.0,1017.3,914.2,2.2,19.8(29),7.0,0.0,0.0,1.0,24/16.4(06),3.0,18.0,33.0,0.0,9.4,16.0,-2.4(21),355.0,80.0,0.0,1.0,74.9,11.0,1.0,10.1,16.0,5.0,6.0,3.0,6.9,11.5,0.0,9.1,894.9(06),10.0,441.0
Barcelona,1990-5,2331,12.3(08),5.0,69.0,2.0,1.0,7.6,925.5(28),3.0,1016.8,916.4,6.6,25.8(31),12.0,0.0,0.0,1.0,19/23.1(16),3.0,25.0,52.0,0.0,16.1,14.0,1.1(03),299.0,117.0,0.0,0.0,72.9,14.0,8.0,17.8,14.0,0.0,15.7,0.0,13.3,19.9,0.0,14.1,908.2(12),9.0,718.0
Barcelona,1990-6,2331,22.1(11),2.0,66.0,1.0,2.0,9.2,921.8(24),,1015.0,915.6,9.3,31.0(25),14.7,1.0,0.0,4.0,,2.0,24.0,60.0,,20.3,9.0,4.0(06),,130.0,0.0,1.0,62.4,6.0,6.0,22.1,15.0,0.0,14.1,0.0,16.0,22.6,0.0,18.2,909.3(04),7.0,787.0
Barcelona,1990-7,2331,4.3(14),0.0,52.0,0.0,0.0,11.3,924.7(07),3.0,1016.8,918.7,11.3,35.7(21),17.8,16.0,0.0,12.0,23/18.9(22),0.0,19.0,76.0,0.0,23.8,6.0,6.0(04),326.0,129.0,0.0,0.0,9.5,8.0,6.0,26.6,14.0,0.0,18.2,0.0,20.0,28.8,0.0,21.3,911.8(13),3.0,1358.0
Barcelona,1990-8,2331,13.5(30),0.0,56.0,0.0,1.0,9.9,924.0(17),4.0,1017.6,919.3,11.8,35.4(04),17.2,12.0,0.0,9.0,18/17.5(12),1.0,22.0,71.0,0.0,23.7,7.0,6.0(31),355.0,134.0,0.0,1.0,25.7,4.0,5.0,25.9,16.0,0.0,16.0,0.0,20.0,28.3,0.0,22.1,914.3(13),5.0,1318.0
Barcelona,1990-9,2331,9.9(28),1.0,70.0,1.0,1.0,7.1,923.9(27),2.0,1016.1,917.1,10.3,30.6(11),14.0,1.0,0.0,0.0,21/20.0(29),0.0,29.0,57.0,0.0,20.2,7.0,7.0(25),294.0,149.0,0.0,1.0,25.6,8.0,2.0,21.7,13.0,0.0,18.5,0.0,17.8,25.2,0.0,19.8,909.6(25),4.0,774.0
Barcelona,1990-10,2331,21.9(31),11.0,76.0,0.0,1.0,3.9,924.8(05),,1013.9,912.7,6.6,24.5(02),13.4,0.0,0.0,4.0,,1.0,16.0,35.0,,13.5,15.0,-0.8(06),,105.0,0.0,0.0,62.4,17.0,0.0,13.6,19.0,1.0,9.5,0.0,11.4,16.2,1.0,14.6,901.5(22),9.0,559.0
