ciudad,fecha,ta_max,ta_min,tm_mes,(,tm_mes,ta_min,ta_max
Cordoba,2000-1,19.4(31),-1.8(23),8.0,,8.0,-1.8,19.4
Cordoba,2000-2,24.2(20),1.0(05),12.7,,12.7,1.0,24.2
Cordoba,2000-3,27.4(10),2.3(29),14.6,,14.6,2.3,27.4
Cordoba,2000-4,25.2(07),4.0(05),14.2,,14.2,4.0,25.2
Cordoba,2000-5,37.8(30),8.8(02),20.6,,20.6,8.8,37.8
Cordoba,2000-6,40.4(24),9.8(10),25.6,,25.6,9.8,40.4
Cordoba,2000-7,43.8(31),13.6(12),27.6,,27.6,13.6,43.8
Cordoba,2000-8,43.6(01),14.5(23),27.9,,27.9,14.5,43.6
Cordoba,2000-9,40.4(08),11.4(21),24.9,,24.9,11.4,40.4
Cordoba,2000-10,34.4(04),7.2(14),18.6,,18.6,7.2,34.4
Cordoba,2000-11,22.4(12),2.4(19),12.6,,12.6,2.4,22.4
Cordoba,2000-12,21.4(07),0.6(17),11.3,,11.3,0.6,21.4
Cordoba,2000-13,43.8(31/jul),-1.8(23/ene),18.2,,18.2,-1.8,43.8
Cordoba,2001-1,17.0(05),0.4(08),10.5,,10.5,0.4,17.0
Cordoba,2001-2,22.4(12),2.2(18),11.7,,11.7,2.2,22.4
Cordoba,2001-3,27.8(23),6.4(01),15.3,,15.3,6.4,27.8
Cordoba,2001-4,29.0(10),6.2(22),17.1,,17.1,6.2,29.0
Cordoba,2001-5,36.4(28),7.0(01),19.5,,19.5,7.0,36.4
Cordoba,2001-6,41.0(23),12.0(17),25.6,,25.6,12.0,41.0
Cordoba,2001-7,40.0(11),14.0(17),26.2,,26.2,14.0,40.0
Cordoba,2001-8,42.0(24),15.4(18),28.0,,28.0,15.4,42.0
Cordoba,2001-9,37.0(09),12.2(26),24.2,,24.2,12.2,37.0
Cordoba,2001-10,32.4(04),9.8(10),20.2,,20.2,9.8,32.4
Cordoba,2001-11,27.6(01),-0.6(11),12.2,,12.2,-0.6,27.6
Cordoba,2001-12,19.8(07),-0.8(16),9.9,,9.9,-0.8,19.8
Cordoba,2001-13,42.0(24/ago),-0.8(16/dic),18.4,,18.4,-0.8,42.0
Cordoba,2002-1,20.0(28),1.5(21),10.5,,10.5,1.5,20.0
Cordoba,2002-2,23.0(12),-0.6(20),11.5,,11.5,-0.6,23.0
Cordoba,2002-3,30.2(23),3.4(08),14.8,,14.8,3.4,30.2
Cordoba,2002-4,32.4(26),5.6(12),16.0,,16.0,5.6,32.4
Cordoba,2002-5,36.8(16),5.6(04),19.2,,19.2,5.6,36.8
Cordoba,2002-6,39.0(16),10.4(09),24.7,,24.7,10.4,39.0
Cordoba,2002-7,40.6(27),13.8(15),27.3,,27.3,13.8,40.6
Cordoba,2002-8,40.6(13),15.0(29),26.5,,26.5,15.0,40.6
Cordoba,2002-9,35.5(01),13.0(06),23.0,,23.0,13.0,35.5
Cordoba,2002-10,29.0(19),6.6(11),19.1,,19.1,6.6,29.0
Cordoba,2002-11,26.0(03),3.8(26),13.7,,13.7,3.8,26.0
Cordoba,2002-12,19.0(25),0.8(08),12.1,,12.1,0.8,19.0
Cordoba,2002-13,40.6(27/jul),-0.6(20/feb),18.2,,18.2,-0.6,40.6
Cordoba,2003-1,20.4(28),-2.1(17),8.9,,8.9,-2.1,20.4
Cordoba,2003-2,18.5(23),-1.8(02),9.9,,9.9,-1.8,18.5
Cordoba,2003-3,28.2(12),4.2(20),15.0,,15.0,4.2,28.2
Cordoba,2003-4,28.3(27),5.0(05),16.5,,16.5,5.0,28.3
Cordoba,2003-5,35.5(23),9.8(01),21.7,,21.7,9.8,35.5
